nombre_ciudad,densidad,ratio_energetico,ratio_cobertura_servicios,contaminacion,contaminacion_acumulada,estabilidad_media,tendencia_estabilidad,tendencia_contaminacion,bienestar,score_viabilidad,ciclos_ejecutados,colapso_detectado,saturacion_detectada,objetivo
Ciudad_0460_saturada_o_inestable,0.7196,0.8742,0.6703,0.7669,10.5785,0.635,-0.1328,0.0839,0.5475,57.07,13,false,false,INESTABLE
Ciudad_0151_colapso_o_critica,0.7544,0.4151,0.265,0.9882,13.8374,0.236,-0.2,0.279,0.2023,25.49,12,true,false,CRITICO
Ciudad_0320_saturada_o_inestable,0.7848,0.6896,0.6047,0.4674,4.6858,0.4211,-0.1742,0.0996,0.4611,50.05,9,false,true,INESTABLE
Ciudad_0329_saturada_o_inestable,0.6161,0.7235,0.7239,0.6591,7.491,0.4501,-0.0713,0.1709,0.4992,54.36,10,false,true,INESTABLE
Ciudad_0238_colapso_o_critica,0.9478,0.2572,0.2611,0.9715,10.0312,0.3435,-0.1379,0.2912,0.2034,19.99,9,true,true,CRITICO
Ciudad_0270_colapso_o_critica,0.7141,0.2154,0.3727,0.9426,14.6274,0.2404,-0.0917,0.1855,0.2098,24.22,14,false,true,CRITICO
Ciudad_0610_funcional_estable,0.6506,0.8884,0.8326,0.3768,4.8529,0.5976,-0.0466,0.0328,0.6699,67.15,12,false,false,FUNCIONAL
Ciudad_0630_funcional_estable,0.5031,0.8022,0.9585,0.3981,3.1507,0.7453,0.0345,0.099,0.7615,73.1,7,false,false,FUNCIONAL
Ciudad_0662_funcional_estable,0.6801,0.8464,0.8845,0.5422,7.6209,0.616,0.0531,0.0344,0.689,64.44,13,false,false,FUNCIONAL
Ciudad_0049_colapso_o_critica,0.8043,0.6168,0.5319,0.9935,8.6447,0.0709,-0.1665,0.1681,0.2324,31.49,8,true,false,CRITICO
Ciudad_0340_saturada_o_inestable,0.8675,0.8979,0.7734,0.7535,6.8239,0.4739,-0.0193,0.2198,0.5592,53.74,8,false,true,INESTABLE
Ciudad_0575_saturada_o_inestable,0.7446,0.9288,0.581,0.6421,6.5841,0.4664,-0.165,0.1496,0.5196,54.65,9,false,true,INESTABLE
Ciudad_0032_colapso_o_critica,0.8741,0.5216,0.6922,0.7447,5.7385,0.4309,-0.3793,0.3199,0.4664,32.33,6,true,true,CRITICO
Ciudad_1197_optima,0.4415,1.0481,0.9605,0.3411,1.5876,0.9123,0.0793,-0.0609,0.8901,83.51,5,false,false,OPTIMO
Ciudad_1083_optima,0.3827,1.1766,0.9632,0.2795,2.0305,0.8927,0.1011,-0.0477,0.9209,85.27,7,false,false,OPTIMO
Ciudad_1072_optima,0.2,1.2028,0.9181,0.2755,1.1446,0.8467,0.0731,-0.025,0.871,87.16,4,false,false,OPTIMO
Ciudad_0718_funcional_estable,0.408,1.0216,0.8482,0.5181,5.9289,0.6515,0.0255,0.052,0.6602,74.06,11,false,false,FUNCIONAL
Ciudad_0063_colapso_o_critica,0.8572,0.3978,0.5643,0.9144,5.6046,0.3764,-0.2307,0.2884,0.33,32.9,5,false,true,CRITICO
Ciudad_0681_funcional_estable,0.6408,0.9292,0.8499,0.3846,2.2017,0.601,0.0443,0.039,0.6602,68.66,5,false,false,FUNCIONAL
Ciudad_0197_colapso_o_critica,0.7217,0.565,0.7021,0.7148,7.0273,0.3653,-0.1106,0.2452,0.4426,34.53,8,true,true,CRITICO
Ciudad_0121_colapso_o_critica,0.7463,0.4982,0.3642,0.973,12.8375,0.0884,-0.1903,0.3815,0.1414,26.99,11,true,true,CRITICO
Ciudad_0597_saturada_o_inestable,0.6647,0.6652,0.6578,0.5264,2.7131,0.377,-0.0556,0.0569,0.4937,51.14,5,false,true,INESTABLE
Ciudad_0921_optima,0.3261,1.0959,1.0506,0.0803,0.9569,0.845,0.0203,-0.0193,0.9421,89.17,10,false,false,OPTIMO
Ciudad_0824_funcional_estable,0.4723,0.9068,0.9999,0.4139,1.4728,0.5701,-0.0154,-0.0112,0.6967,73.41,4,false,false,FUNCIONAL
Ciudad_0560_saturada_o_inestable,0.8152,0.7467,0.6052,0.622,3.7003,0.6257,-0.1729,0.2159,0.4892,52.65,5,false,true,INESTABLE
Ciudad_0660_funcional_estable,0.5503,0.8624,0.8934,0.5434,8.0297,0.6604,0.0453,0.047,0.6688,68.48,14,false,false,FUNCIONAL
Ciudad_0876_funcional_estable,0.539,0.9756,0.809,0.3807,2.403,0.6601,-0.0169,0.0269,0.6779,72.28,6,false,true,FUNCIONAL
Ciudad_0394_saturada_o_inestable,0.7633,0.6466,0.8695,0.5298,6.4503,0.5491,-0.1293,0.1553,0.6677,56.33,11,false,false,INESTABLE
Ciudad_0878_funcional_estable,0.4015,0.9466,0.9617,0.4203,2.9503,0.6612,0.0537,0.0245,0.7596,74.65,7,false,false,FUNCIONAL
Ciudad_0278_colapso_o_critica,0.8327,0.5308,0.5895,0.968,6.36,0.2862,-0.1677,0.2198,0.3356,34.61,6,true,true,CRITICO
Ciudad_0625_funcional_estable,0.588,0.87,0.8376,0.3877,5.1125,0.6819,-0.0309,0.0093,0.7519,69.56,13,false,false,FUNCIONAL
Ciudad_0627_funcional_estable,0.4457,0.8626,0.9867,0.3376,4.368,0.5831,0.0214,0.0878,0.7144,73.98,11,false,false,FUNCIONAL
Ciudad_0805_funcional_estable,0.4087,0.8268,0.8545,0.4609,5.172,0.5827,-0.0488,0.0349,0.6948,69.33,11,false,false,FUNCIONAL
Ciudad_0401_saturada_o_inestable,0.8593,0.6495,0.5487,0.4777,4.9317,0.5942,-0.0107,0.1421,0.5613,49.74,9,false,true,INESTABLE
Ciudad_0742_funcional_estable,0.5461,0.9596,0.8127,0.4939,2.4468,0.5921,0.0502,0.0498,0.578,68.76,4,false,false,FUNCIONAL
Ciudad_0465_saturada_o_inestable,0.7222,0.6824,0.7258,0.6287,7.1441,0.4422,-0.042,0.0594,0.4678,51.54,11,false,true,INESTABLE
Ciudad_1115_optima,0.3241,1.3139,1.0678,0.3052,1.8397,0.8605,0.0217,-0.045,0.904,86.15,6,false,false,OPTIMO
Ciudad_0216_colapso_o_critica,0.9721,0.5719,0.4975,0.773,7.1047,0.2725,-0.2691,0.1702,0.3398,33.66,8,false,true,CRITICO
Ciudad_0530_saturada_o_inestable,0.6804,0.7408,0.5543,0.5574,3.0954,0.5106,0.0078,0.094,0.4534,52.85,5,false,true,INESTABLE
Ciudad_0837_funcional_estable,0.5668,1.0928,0.8728,0.3626,5.5892,0.6287,0.0391,0.0645,0.7033,73.25,14,false,false,FUNCIONAL
Ciudad_0172_colapso_o_critica,0.8791,0.4761,0.6288,0.9288,8.6925,0.3742,-0.1741,0.2785,0.3709,35.45,8,true,true,CRITICO
Ciudad_1088_optima,0.2486,1.1688,1.0595,0.1837,0.6187,0.859,0.0217,-0.0494,0.9372,89.45,4,false,false,OPTIMO
Ciudad_1144_optima,0.2783,1.218,1.1845,0.1595,2.2118,0.9167,0.0412,-0.0623,0.9322,90.38,14,false,false,OPTIMO
Ciudad_0097_colapso_o_critica,0.7765,0.4804,0.3591,0.9583,6.7412,0.3669,-0.2193,0.2965,0.2996,31.63,6,true,false,CRITICO
Ciudad_1104_optima,0.321,1.2973,1.107,0.2232,3.1974,0.9201,0.0736,0.0085,0.9411,88.63,14,false,false,OPTIMO
Ciudad_0403_saturada_o_inestable,0.6582,0.8247,0.727,0.5076,4.0917,0.5308,-0.1492,0.1848,0.5524,55.31,7,false,true,INESTABLE
Ciudad_0242_colapso_o_critica,0.7706,0.5457,0.7208,0.7338,11.4334,0.1949,-0.2262,0.1511,0.3819,23.15,14,false,true,CRITICO
Ciudad_1092_optima,0.1353,1.2317,1.0488,0.0137,0.3701,0.82,0.0417,0.0285,0.9137,93.49,12,false,false,OPTIMO
Ciudad_0548_saturada_o_inestable,0.6687,0.7119,0.8339,0.5941,7.0547,0.5076,-0.005,0.1062,0.5369,57.34,11,false,false,INESTABLE
Ciudad_0520_saturada_o_inestable,0.709,0.6734,0.7974,0.6663,10.4938,0.5017,0.0074,0.1468,0.5603,53.64,14,false,true,INESTABLE
Ciudad_1179_optima,0.1963,1.0886,0.8973,0.1067,0.5338,0.8913,0.0301,-0.066,0.8539,90.25,4,false,false,OPTIMO
Ciudad_0894_funcional_estable,0.448,1.0529,0.8538,0.3249,3.7117,0.5899,0.0363,0.0546,0.708,75.04,10,false,false,FUNCIONAL
Ciudad_1042_optima,0.1973,1.3629,0.9158,0.2704,2.1362,0.8145,0.0474,-0.0162,0.8325,86.61,9,false,false,OPTIMO
Ciudad_0206_colapso_o_critica,0.9618,0.5005,0.3519,0.87,8.4751,0.4449,-0.1507,0.3849,0.4232,31.16,8,true,true,CRITICO
Ciudad_0027_colapso_o_critica,0.8692,0.607,0.4706,0.8061,5.097,0.4015,-0.1115,0.4323,0.3927,22.95,5,true,true,CRITICO
Ciudad_1038_optima,0.1249,1.3848,1.1193,0.1966,2.6355,0.9036,-0.0122,-0.0127,0.9407,92.62,14,false,false,OPTIMO
Ciudad_0829_funcional_estable,0.3586,0.9602,0.8677,0.2794,1.5925,0.6204,0.0527,0.047,0.7193,74.35,5,false,false,FUNCIONAL
Ciudad_0227_colapso_o_critica,0.9215,0.2419,0.6203,0.8172,5.109,0.3422,-0.1465,0.3623,0.3862,29.61,5,false,true,CRITICO
Ciudad_0795_funcional_estable,0.3632,0.7983,0.9844,0.5056,6.0851,0.6884,0.0278,0.0766,0.7477,73.56,11,false,false,FUNCIONAL
Ciudad_0586_saturada_o_inestable,0.7102,0.5328,0.7319,0.6771,9.5138,0.4539,-0.069,0.1925,0.5437,47.68,12,false,false,INESTABLE
Ciudad_0809_funcional_estable,0.6468,0.8926,0.9024,0.4583,4.8966,0.7269,0.0578,-0.0078,0.7511,70.09,11,false,false,FUNCIONAL
Ciudad_0919_optima,0.1759,1.1294,1.1045,0.2951,4.4578,0.9,0.0859,0.0302,0.9259,90.06,14,false,false,OPTIMO
Ciudad_0677_funcional_estable,0.4559,0.8236,0.9983,0.3692,1.6929,0.6476,-0.0053,-0.0169,0.7376,73.85,5,false,false,FUNCIONAL
Ciudad_0369_saturada_o_inestable,0.6761,0.598,0.6275,0.559,8.6511,0.5998,-0.1761,0.2012,0.55,52.59,13,false,true,INESTABLE
Ciudad_0601_funcional_estable,0.414,1.0633,0.8631,0.5339,7.704,0.6883,0.0254,0.0366,0.713,74.74,14,false,false,FUNCIONAL
Ciudad_0453_saturada_o_inestable,0.8727,0.7434,0.7522,0.497,4.2606,0.4281,-0.1658,0.1921,0.5662,52.28,7,false,true,INESTABLE
Ciudad_0791_funcional_estable,0.5397,1.0461,0.9708,0.567,7.3369,0.5821,0.0047,-0.0093,0.6316,71.76,13,false,true,FUNCIONAL
Ciudad_0044_colapso_o_critica,0.9241,0.5985,0.5344,0.8719,11.1965,0.2164,-0.1717,0.4306,0.3053,33.42,10,false,true,CRITICO
Ciudad_1199_optima,0.1526,1.2133,1.21,0.257,3.2882,0.8121,0.1039,-0.0264,0.9514,89.33,12,false,false,OPTIMO
Ciudad_0968_optima,0.1811,1.1985,1.1249,0.0904,0.9223,0.8817,0.0739,0.0,0.9508,92.66,10,false,false,OPTIMO
Ciudad_0360_saturada_o_inestable,0.689,0.8203,0.7227,0.7564,9.8422,0.4716,-0.0869,0.126,0.4637,54.27,12,false,true,INESTABLE
Ciudad_1077_optima,0.1703,1.0782,1.2747,0.1606,2.3434,0.8285,0.0233,0.0224,0.9443,90.76,13,false,false,OPTIMO
Ciudad_0685_funcional_estable,0.4417,0.934,0.7867,0.4223,6.4711,0.684,-0.0356,0.0908,0.6965,72.6,14,false,false,FUNCIONAL
Ciudad_0033_colapso_o_critica,0.8118,0.5484,0.4592,0.9061,4.2502,0.1687,-0.2184,0.3144,0.2386,31.44,4,true,true,CRITICO
Ciudad_0515_saturada_o_inestable,0.782,0.709,0.6483,0.7065,3.754,0.5116,-0.0957,0.0666,0.4657,49.68,5,false,false,INESTABLE
Ciudad_0397_saturada_o_inestable,0.809,0.6579,0.7577,0.5186,3.1703,0.3961,-0.0671,0.0569,0.5252,50.57,6,false,false,INESTABLE
Ciudad_0576_saturada_o_inestable,0.6741,0.5492,0.593,0.6161,5.0465,0.5615,0.0097,0.1078,0.5593,49.1,7,false,true,INESTABLE
Ciudad_0210_colapso_o_critica,0.814,0.5304,0.6903,0.7503,7.5497,0.2724,-0.3303,0.3459,0.3738,34.44,8,false,true,CRITICO
Ciudad_0843_funcional_estable,0.5321,0.8241,0.9197,0.3626,2.2528,0.6848,0.0164,0.0394,0.7363,71.61,6,false,false,FUNCIONAL
Ciudad_1040_optima,0.1243,1.1494,1.1357,0.2031,1.1142,0.8747,0.1082,-0.0596,0.8924,91.96,5,false,false,OPTIMO
Ciudad_0916_optima,0.4485,1.3025,1.0383,0.1701,1.7319,0.759,0.02,0.0142,0.8456,83.66,10,false,false,OPTIMO
Ciudad_0659_funcional_estable,0.6044,0.8352,0.979,0.2804,1.9611,0.7505,0.0455,0.0654,0.8187,74.17,6,false,false,FUNCIONAL
Ciudad_0796_funcional_estable,0.6551,1.0645,0.9808,0.5365,5.4746,0.6454,0.0531,0.0177,0.7218,71.38,10,false,false,FUNCIONAL
Ciudad_1172_optima,0.1849,1.1103,1.1124,0.1071,1.4458,0.9073,0.1022,-0.0207,1,92.84,14,false,false,OPTIMO
Ciudad_0697_funcional_estable,0.4445,0.9721,0.8881,0.2414,2.8882,0.5981,-0.018,0.0327,0.7553,66.79,11,false,true,FUNCIONAL
Ciudad_0165_colapso_o_critica,0.8193,0.2772,0.3365,1.0,7.5554,0.2525,-0.3324,0.1588,0.2529,22.32,7,true,true,CRITICO
Ciudad_0512_saturada_o_inestable,0.8474,0.6631,0.7407,0.6291,8.2001,0.4226,-0.0882,0.1296,0.4556,48.46,12,false,true,INESTABLE
Ciudad_0850_funcional_estable,0.678,0.8479,0.8766,0.4859,3.3657,0.5719,-0.0369,0.0077,0.638,64.32,7,false,false,FUNCIONAL
Ciudad_1098_optima,0.3377,1.1891,1.0504,0.1595,0.6772,0.8139,0.0471,-0.0331,0.8698,87.13,4,false,false,OPTIMO
Ciudad_0729_funcional_estable,0.5565,0.8648,0.8052,0.4801,3.2993,0.5461,0.0232,-0.0193,0.6511,65.32,7,false,false,FUNCIONAL
Ciudad_0295_colapso_o_critica,0.9562,0.2124,0.6483,0.9465,8.6845,0.4219,-0.3766,0.294,0.4145,28.39,8,true,true,CRITICO
Ciudad_0303_saturada_o_inestable,0.6237,0.6638,0.757,0.7382,10.0397,0.5355,-0.0142,0.1321,0.5755,53.9,12,false,true,INESTABLE
Ciudad_1012_optima,0.4188,1.1679,1.1493,0.0723,0.5974,0.9392,0.0673,0.011,1,89.32,7,false,false,OPTIMO
Ciudad_1183_optima,0.2339,1.3972,1.2332,0.1112,1.2086,0.8242,0.0854,0.0388,0.9749,90.14,10,false,false,OPTIMO
Ciudad_0808_funcional_estable,0.5097,0.8856,0.9153,0.3047,3.799,0.6783,-0.01,0.026,0.7244,74.25,12,false,false,FUNCIONAL
Ciudad_0446_saturada_o_inestable,0.637,0.5607,0.7081,0.6973,3.9349,0.4285,-0.0448,0.1658,0.4871,48.55,5,false,false,INESTABLE
Ciudad_1047_optima,0.3179,1.2184,1.2239,0.1251,1.0866,0.8148,0.0497,-0.0221,0.9857,88.06,9,false,false,OPTIMO
Ciudad_1113_optima,0.2899,1.3485,1.1058,0.3007,3.011,0.7623,0.057,-0.0582,0.8387,84.94,10,false,false,OPTIMO
Ciudad_0675_funcional_estable,0.5913,0.9991,0.8444,0.2981,3.905,0.5961,-0.0052,-0.0097,0.6882,72.49,13,false,true,FUNCIONAL
Ciudad_0220_colapso_o_critica,0.9381,0.4387,0.4258,0.8865,4.4328,0.4048,-0.213,0.3153,0.3328,30.52,4,true,true,CRITICO
Ciudad_0038_colapso_o_critica,0.7599,0.2791,0.5682,0.7678,13.2547,0.3274,-0.2393,0.3382,0.3653,33.17,14,true,false,CRITICO
Ciudad_0339_saturada_o_inestable,0.7261,0.6212,0.6443,0.726,9.7154,0.6137,-0.0404,0.1577,0.5461,50.28,12,false,true,INESTABLE
Ciudad_1190_optima,0.1878,1.0615,1.1598,0.0205,0.3163,0.8388,0.013,0.0059,0.9373,92.71,10,false,false,OPTIMO
Ciudad_0873_funcional_estable,0.479,1.0532,0.8961,0.3728,4.6015,0.7114,-0.0097,-0.0059,0.7272,73.17,12,false,false,FUNCIONAL
Ciudad_1060_optima,0.3022,1.3231,1.0337,0.0126,0,0.8638,-0.0073,-0.0606,0.9143,91.04,6,false,false,OPTIMO
Ciudad_0857_funcional_estable,0.4745,1.1044,0.8866,0.4305,3.4751,0.6811,0.0286,0.032,0.6493,75.4,8,false,false,FUNCIONAL
Ciudad_0557_saturada_o_inestable,0.6412,0.5919,0.6849,0.5658,4.685,0.556,-0.0523,0.2074,0.552,53.3,7,false,true,INESTABLE
Ciudad_0265_colapso_o_critica,0.8337,0.5005,0.6696,0.8686,8.5421,0.2883,-0.1713,0.192,0.3564,36.97,9,true,true,CRITICO
Ciudad_0936_optima,0.2197,1.0904,1.0512,0.0275,0.343,0.9061,0.0707,-0.0324,0.9309,93.31,14,false,false,OPTIMO
Ciudad_0743_funcional_estable,0.4734,0.8227,1.015,0.3035,2.9664,0.6654,0.0133,0.0432,0.8256,74.85,9,false,false,FUNCIONAL
Ciudad_0611_funcional_estable,0.4214,0.8272,0.9515,0.3726,4.2162,0.5779,0.0029,0.0246,0.6855,72.25,11,false,false,FUNCIONAL
